case_name,scenario,polarization,pos_id,x_m,y_m,label,r_CP,a_FP,fp_energy_db,mean_excess_delay_ns,baseline_score,proposed_score,baseline_pred,proposed_pred,baseline_wrong,proposed_wrong,rescued_by_proposed,harmed_by_proposed,score_delta_proposed_minus_baseline
CP_caseB,B,CP,6,4.5,-1.75,1,0.0610739192433586,0.329375464115538,-67.7422121002213,2.68539279253602,0.993585701514376,0.997014756501265,1,1,0,0,0,0,0.00342905498688872
CP_caseB,B,CP,7,5.25,-1.75,0,0.0363749942553935,0.206337635363417,-73.7402802971616,3.9908321089995,0.73259348871494,0.747639292739939,1,1,1,1,0,0,0.0150458040249989
CP_caseB,B,CP,8,0.75,-1.25,1,0.136355919175302,0.331143473857932,-67.0643403515219,3.75508595996378,0.978173304243844,0.982677151047478,1,1,0,0,0,0,0.00450384680363458
CP_caseB,B,CP,9,1.5,-1.25,1,0.0763357030644052,0.244151854517586,-64.8835797791159,3.04120315273824,0.998899595372532,0.998871300865327,1,1,0,0,0,0,-2.82945072050955e-05
CP_caseB,B,CP,10,2.25,-1.25,1,0.0864770727721426,0.267643479993368,-64.9699515554151,2.8119439794587,0.995041307942903,0.99587276703984,1,1,0,0,0,0,0.000831459096937381
CP_caseB,B,CP,11,3,-1.25,1,0.0998716357471171,0.257883351606099,-65.5733167241172,2.54386609271763,0.98839846929159,0.990124430180094,1,1,0,0,0,0,0.00172596088850363
CP_caseB,B,CP,12,3.75,-1.25,1,0.170908419678256,0.302660884117527,-68.2505247216528,2.88406841736721,0.979170016119061,0.990250962550256,1,1,0,0,0,0,0.0110809464311945
CP_caseB,B,CP,13,4.5,-1.25,1,0.29012824313979,0.110269230316908,-79.5775722643392,7.87737914978815,0.115598267689423,0.095723745093673,0,0,1,1,0,0,-0.0198745225957497
CP_caseB,B,CP,14,5.25,-1.25,1,0.1860696398182,0.237461112918736,-72.1243624308547,5.00263108957352,0.85962918748251,0.895806238002522,1,1,0,0,0,0,0.0361770505200114
CP_caseB,B,CP,15,0.75,-0.75,1,0.0622052586611716,0.256203892866131,-65.1575284863606,3.25958389341412,0.990698679115923,0.99045939758048,1,1,0,0,0,0,-0.000239281535442837
CP_caseB,B,CP,16,1.5,-0.75,1,0.106308621084971,0.367169172943667,-63.9673145077575,2.98428997771104,0.990622113075711,0.995754466157569,1,1,0,0,0,0,0.00513235308185744
CP_caseB,B,CP,17,2.25,-0.75,1,0.182447328797012,0.349540487392535,-64.6913337512379,2.54936886803296,0.985790465837393,0.994415253867832,1,1,0,0,0,0,0.00862478803043909
CP_caseB,B,CP,18,3,-0.75,1,0.228774293819982,0.393902582534606,-65.9664985701891,2.62264968111656,0.993996526623832,0.998454487954797,1,1,0,0,0,0,0.00445796133096499
CP_caseB,B,CP,19,3.75,-0.75,1,0.363354024914669,0.268898957065,-68.3241244135102,3.10177950100038,0.956910243984445,0.964790293960147,1,1,0,0,0,0,0.00788004997570191
CP_caseB,B,CP,20,4.5,-0.75,1,0.235850592486327,0.291185143077463,-72.1882295599056,3.69982467486236,0.859916028923829,0.901341470585632,1,1,0,0,0,0,0.0414254416618036
CP_caseB,B,CP,21,5.25,-0.75,1,0.285999184470718,0.256061916322834,-69.948624341546,3.00026448879332,0.97874403476227,0.985649146246498,1,1,0,0,0,0,0.0069051114842279
CP_caseB,B,CP,22,0.75,-0.25,1,0.224469804340032,0.310194078156056,-63.0343276156632,2.14235317275795,0.995987021615599,0.996612798471224,1,1,0,0,0,0,0.00062577685562526
CP_caseB,B,CP,23,1.5,-0.25,1,0.361478328645811,0.365064698883776,-62.9106841625601,2.52396961515625,0.999735667033058,0.999911686071686,1,1,0,0,0,0,0.000176019038627961
CP_caseB,B,CP,24,2.25,-0.25,1,0.483190970140476,0.294467232808594,-63.3917054292956,2.31500864554703,0.995027908202265,0.995295102840567,1,1,0,0,0,0,0.000267194638301937
CP_caseB,B,CP,25,3,-0.25,1,0.524268323409948,0.282948252171772,-66.5637031120575,3.25970659917789,0.979459131764315,0.981120992692737,1,1,0,0,0,0,0.00166186092842224
CP_caseB,B,CP,26,3.75,-0.25,1,0.435766263433964,0.383027532833671,-69.4773612590536,3.15758197962636,0.944837031366138,0.986268951026147,1,1,0,0,0,0,0.0414319196600087
CP_caseB,B,CP,27,4.5,-0.25,1,0.709525143707487,0.266834600051411,-69.3753714551306,3.19067909879721,0.96332587903514,0.974794335315966,1,1,0,0,0,0,0.0114684562808262
CP_caseB,B,CP,28,5.25,-0.25,1,0.549831263113481,0.229631739439988,-71.2188952678562,3.93830863655953,0.911305480115306,0.91399809052784,1,1,0,0,0,0,0.0026926104125341
CP_caseB,B,CP,29,0.75,0.25,1,2.29317443054642,0.325710401071336,-64.2666792834197,2.28880802000209,0.99803376683353,0.99877109227157,1,1,0,0,0,0,0.000737325438040726
CP_caseB,B,CP,30,1.5,0.25,1,2.14035166638325,0.376516530937067,-64.0048509362148,2.6351360848193,0.996825312088934,0.998792349410838,1,1,0,0,0,0,0.00196703732190429
CP_caseB,B,CP,31,2.25,0.25,1,1.64548658059863,0.304704338232054,-63.9671444425505,2.19008542335247,0.998561111462791,0.999151901191633,1,1,0,0,0,0,0.000590789728841745
CP_caseB,B,CP,32,3,0.25,1,1.38040679082637,0.330359015728407,-67.0725235630371,2.66115554044344,0.990347798849312,0.994008152139874,1,1,0,0,0,0,0.00366035329056247
CP_caseB,B,CP,33,3.75,0.25,1,1.52027641352978,0.355569445859039,-69.8247882614176,3.33560791354666,0.900106561050935,0.941079066139364,1,1,0,0,0,0,0.0409725050884293
CP_caseB,B,CP,34,4.5,0.25,1,0.854087710258843,0.26803955076158,-69.7893066223102,3.51637963163677,0.939243321369752,0.947503770870013,1,1,0,0,0,0,0.00826044950026061
CP_caseB,B,CP,35,5.25,0.25,1,1.07919782586234,0.29908954734111,-71.6879139498598,3.56793076329139,0.932044549734936,0.94578417870463,1,1,0,0,0,0,0.0137396289696938
CP_caseB,B,CP,36,0.75,0.75,1,6.87797010889617,0.293939887231606,-66.684684151421,2.62064780595407,0.993535562161729,0.996670426083663,1,1,0,0,0,0,0.00313486392193396
